"","Koder_samlet","SKS1","SKS1_til","SKS10","SKS10_til","SKS11","SKS11_til","SKS12","SKS12_til","SKS13","SKS13_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","SKS7","SKS7_til","SKS8","SKS8_til","SKS9","SKS9_til","Tid_i_min"
"620","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG40_TUL1/UXRG50_TUL1","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"634","UXRG10_NA/UXRG15_TUL2/UXRG20_TUL2/UXRG25_TUL2/UXRG30_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"646","UXRG10_NA/UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"46","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"47","UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"77","UXRF50_TUL1/UXRF50_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"86","UXRG45_TUL1/UXRG45_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af calcaneus","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af calcaneus","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"91","UXRF40_TUL1/UXRF40_TUL2/UXRF50_TUL1/UXRF50_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"126","UXRF12_TUL1/UXRF12_TUL2/UXRF15_TUL1/UXRF15_TUL2","Røntgenundersøgelse af akromioclavicularled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"130","UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"145","UXRF40_TUL1/UXRF40_TUL2/UXRF45_TUL1/UXRF45_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","højresidig","Røntgenundersøgelse af os scaphoideum","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"154","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"170","UXRF50_TUL1/UXRF50_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"173","UXRG10_TUL2/UXRG15_TUL2/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"175","UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"183","UXRG40_TUL1/UXRG40_UXZ21/UXRG50_TUL1/UXRG50_UXZ21","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","med udmåling på billeder","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","med udmåling på billeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"214","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"216","UXRG15_TUL1/UXRG15_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"221","UXRG30_TUL1/UXRG30_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af crus","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af crus","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"232","UXRC20_TUL2/UXRF12_TUL1/UXRF12_TUL2/UXRF15_TUL2","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"236","UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"294","UXRG10_TUL2/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"299","UXRG20_TUL1/UXRG20_TUL2/UXRG30_TUL1/UXRG30_TUL2","Røntgenundersøgelse af femur","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af femur","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"304","UXRG25_TUL1/UXRG25_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"305","UXRG25_TUL1/UXRG27_TUL2/UXRG30_TUL1/UXRG40_TUL1","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"314","UXRG40_TUL2/UXRG40_UXZ21/UXRG50_TUL2/UXRG50_UXZ21","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","med udmåling på billeder","Røntgenundersøgelse af fod og tæer","venstresidig","Røntgenundersøgelse af fod og tæer","med udmåling på billeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"367","UXRC20_TUL1/UXRC20_TUL2/UXRF15_TUL1/UXRF15_TUL2","Røntgenundersøgelse af clavicula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af clavicula","venstresidig","Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"381","UXRC20_TUL2/UXRF12_TUL1/UXRF12_TUL2/UXRF30_TUL1","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af underarm","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"382","UXRC20_TUL2/UXRF15_TUL2/UXRF20_TUL2/UXRF25_TUL2","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af albue","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"397","UXRE10_NA/UXRE20_NA/UXRF10_TUL1/UXRF10_TUL2/UXRF15_TUL1","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af scapula","højresidig","Røntgenundersøgelse af scapula","venstresidig","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"427","UXRE30_NA/UXRE30_UXZ90/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis","med funktionsundersøgelse","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"430","UXRE30_NA/UXRF12_TUL1/UXRF15_TUL1/UXRG10_NA/UXRG15_TUL1","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"454","UXRE60_TUL1/UXRE60_TUL2/UXRF50_TUL1/UXRF50_TUL2","Røntgenundersøgelse af sakroiliakaled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af sakroiliakaled","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"465","UXRF10_TUL1/UXRF10_TUL2/UXRF15_TUL1/UXRF15_TUL2","Røntgenundersøgelse af scapula","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af scapula","venstresidig","Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"468","UXRF10_TUL2/UXRF12_TUL1/UXRF12_TUL2/UXRF15_TUL2","Røntgenundersøgelse af scapula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","højresidig","Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"472","UXRF15_TUL1/UXRF15_TUL2/UXRF25_TUL1/UXRF25_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af albue","højresidig","Røntgenundersøgelse af albue","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"473","UXRF15_TUL1/UXRF15_TUL2/UXRF30_TUL1/UXRF30_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af underarm","højresidig","Røntgenundersøgelse af underarm","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"477","UXRF15_TUL1/UXRF15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"489","UXRF15_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"492","UXRF15_TUL1/UXRG25_TUL1/UXRG27_TUL2/UXRG50_TUL1","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"507","UXRF15_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG25_TUL1","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"519","UXRF20_TUL1/UXRF20_TUL2/UXRG20_TUL1/UXRG20_TUL2","Røntgenundersøgelse af overarm","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"533","UXRF25_TUL1/UXRF40_TUL1/UXRF40_TUL2/UXRF45_TUL1","Røntgenundersøgelse af albue","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","højresidig","Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"556","UXRF30_TUL2/UXRF40_TUL2/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af underarm","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"574","UXRF40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"599","UXRF50_TUL1/UXRG25_TUL2/UXRG27_TUL2/UXRG40_TUL1","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"610","UXRF60_TUL1/UXRF60_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse på lang film af overekstremitet","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse på lang film af overekstremitet","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"651","UXRG10_TUL1/UXRG10_TUL2/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken","venstresidig","Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"652","UXRG10_TUL1/UXRG15_TUL1/UXRG15_TUL2/UXRG40_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"655","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG40_TUL1","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"656","UXRG10_TUL2/UXRG15_TUL2/UXRG20_TUL1/UXRG20_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"659","UXRG10_TUL2/UXRG15_TUL2/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"664","UXRG15_TUL1/UXRG15_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"668","UXRG15_TUL1/UXRG25_TUL1/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"690","UXRG25_TUL1/UXRG25_TUL2/UXRG30_TUL2/UXRG40_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af crus","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"692","UXRG25_TUL1/UXRG25_TUL2/UXRG45_TUL1/UXRG45_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af calcaneus","højresidig","Røntgenundersøgelse af calcaneus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"696","UXRG25_TUL1/UXRG27_TUL2/UXRG40_TUL2/UXRG50_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"697","UXRG25_TUL1/UXRG27_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"705","UXRG25_TUL2/UXRG27_TUL2/UXRG30_TUL2/UXRG40_TUL2","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af crus","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"718","UXRG50_TUL1/UXRG50_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fod og tæer","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"159","UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"239","UXRE20_NA/UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"250","UXRE70_NA/UXRF50_TUL2/UXRG50_TUL1/UXRG50_TUL2","Skolioseoptagelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"280","UXRF50_TUL1/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"284","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"286","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"289","UXRG10_NA/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"344","UXRC00_NA/UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af thorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
