"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"1136","UXCA90_UXZ12/UXCF25_TUL2/UXCF25_UXZ11","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","både med og uden i.v. kontrast","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1140","UXCB00_UXZ11/UXCC00_UXZ11/UXCD10_UXZ11","CT-skanning af hals","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af øvre abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1152","UXCB00_UXZ11/UXCF15_TUL1/UXCF15_UXZ11","CT-skanning af hals","uden i.v. kontrast","CT-skanning af skulder","højresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1172","UXCB00_UXZ12/UXCC00_UXZ12/UXCD10_UXZ12","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af øvre abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1184","UXCC00_UXZ10/UXCC00_UXZ41/UXCD00_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af thorax","med CT-angiografi","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1192","UXCC00_UXZ10/UXCD00_UXZ10/UXCD55_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af pancreas","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1212","UXCC00_UXZ11/UXCC00A_UXZ10/UXCC00A_UXZ41","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"1220","UXCC00_UXZ11/UXCC00A_UXZ10/UXCD00_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1228","UXCC00_UXZ11/UXCC70_UXZ10/UXCD30_UXZ10","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af aorta thoracalis","med i.v. kontrast","CT-skanning af aorta abdominalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1278","UXCC00A_UXZ10/UXCC70_UXZ10/UXCD30_UXZ10","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af aorta thoracalis","med i.v. kontrast","CT-skanning af aorta abdominalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1318","UXCC77_UXZ11/UXCD80_UXZ10/UXCD80_UXZ65","High Resolution CT-skanning af lunger","uden i.v. kontrast","CT-skanning af kolon og rektum (CT-kolografi)","med i.v. kontrast","CT-skanning af kolon og rektum (CT-kolografi)","med CO2-kontrast",NA,NA,NA,NA,NA,NA,"0"
"1358","UXCD00_UXZ10/UXCG15_TUL1/UXCG15_UXZ11","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af hofte","højresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1362","UXCD00_UXZ10/UXCG50_TUL1/UXCG50_UXZ11","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af fod","højresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1378","UXCE10_UXZ11/UXCF40_TUL2/UXCF40_UXZ11","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af håndled","venstresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1390","UXCE20_UXZ11/UXCF15_TUL1/UXCF15_UXZ11","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af skulder","højresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1394","UXCE20_UXZ11/UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1412","UXCF25_TUL1/UXCF25_TUL2/UXCF25_UXZ11","CT-skanning af albue","højresidig","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1426","UXCF40_TUL1/UXCF40_TUL2/UXCF40_UXZ11","CT-skanning af håndled","højresidig","CT-skanning af håndled","venstresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1428","UXCG00_TUL1/UXCG00_TUL2/UXCG00_UXZ10","CT-skanning af hel underekstremitet","højresidig","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1438","UXCG00_TUL2/UXCG00_UXZ10/UXCG00_UXZ41","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","med i.v. kontrast","CT-skanning af hel underekstremitet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"1446","UXCG10_UXZ11/UXCG40_TUL1/UXCG40_UXZ11","CT-skanning af ossøse bækken","uden i.v. kontrast","CT-skanning af fodled","højresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"705","UXCC00_NA/UXCC00A_UXZ10/UXCC00A_UXZ41","CT-skanning af thorax",NA,"CT-skanning af hjertet","med i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"709","UXCC00_NA/UXCC00A_UXZ12/UXCC00A_UXZ41","CT-skanning af thorax",NA,"CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"805","AZAB7_NA/UXCC00A_UXZ12/UXCC00A_UXZ41","betalt af forskningsmidler",NA,"CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"809","BMBZ01A_NA/UXCC00_UXZ10/UXCD00_UXZ10","Anlæggelse af gripper i vaskulær injektionsport",NA,"CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"5","UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"19","UXCC00_UXZ10/UXCC00_UXZ41","CT-skanning af thorax","med i.v. kontrast","CT-skanning af thorax","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"27","UXCG40_TUL1/UXCG40_UXZ11","CT-skanning af fodled","højresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"29","UXCC00A_UXZ12/UXCC00A_UXZ41","CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"33","UXCG40_TUL2/UXCG40_UXZ11","CT-skanning af fodled","venstresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"36","UXCC00_UXZ11/UXCD00_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"40","UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"64","UXCG50_TUL2/UXCG50_UXZ11","CT-skanning af fod","venstresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"70","UXCG50_TUL1/UXCG50_UXZ11","CT-skanning af fod","højresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"74","UXCD00_UXZ11/UXCD62_UXZ11","CT-skanning af abdomen","uden i.v. kontrast","CT-urografi","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"84","UXCG15_TUL1/UXCG15_UXZ11","CT-skanning af hofte","højresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"86","UXCC70_UXZ10/UXCD30_UXZ10","CT-skanning af aorta thoracalis","med i.v. kontrast","CT-skanning af aorta abdominalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"90","UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"92","UXCD80_UXZ10/UXCD80_UXZ65","CT-skanning af kolon og rektum (CT-kolografi)","med i.v. kontrast","CT-skanning af kolon og rektum (CT-kolografi)","med CO2-kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"96","UXCD80_UXZ12/UXCD80_UXZ65","CT-skanning af kolon og rektum (CT-kolografi)","både med og uden i.v. kontrast","CT-skanning af kolon og rektum (CT-kolografi)","med CO2-kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"102","UXCA00_UXZ11/UXCA25_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af ansigtsskelet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"106","UXCC00A_UXZ10/UXCC00A_UXZ41","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"111","UXCF15_TUL1/UXCF15_UXZ11","CT-skanning af skulder","højresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"113","UXCG25_TUL1/UXCG25_UXZ11","CT-skanning af knæ","højresidig","CT-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"117","UXCF25_TUL2/UXCF25_UXZ11","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"119","UXCF15_TUL2/UXCF15_UXZ11","CT-skanning af skulder","venstresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"123","UXCG25_TUL2/UXCG25_UXZ11","CT-skanning af knæ","venstresidig","CT-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"131","UXCD00_UXZ10/UXCD00_UXZ41","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"143","UXCF40_TUL2/UXCF40_UXZ11","CT-skanning af håndled","venstresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"147","UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"153","UXCF25_TUL1/UXCF25_UXZ11","CT-skanning af albue","højresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"155","UXCA00_UXZ11/UXCE10_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"161","UXCC00_UXZ10/UXCD10_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af øvre abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"167","UXCC00_UXZ10A/UXCD00_UXZ10A","CT-skanning af thorax","med i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","med i.v. kontrast samt peroral kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"168","UXCF40_TUL1/UXCF40_UXZ11","CT-skanning af håndled","højresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"200","UXCB00_UXZ10/UXCC00_UXZ10","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"204","UXCD00_UXZ12/UXCD00_UXZ41","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"210","UXCD00_UXZ10/UXCD62_UXZ10","CT-skanning af abdomen","med i.v. kontrast","CT-urografi","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"214","UXCG30_TUL1/UXCG30_UXZ11","CT-skanning af crus","højresidig","CT-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"220","UXCG30_TUL2/UXCG30_UXZ11","CT-skanning af crus","venstresidig","CT-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"222","UXCC70_UXZ12/UXCD30_UXZ12","CT-skanning af aorta thoracalis","både med og uden i.v. kontrast","CT-skanning af aorta abdominalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"228","UXCF50_TUL2/UXCF50_UXZ11","CT-skanning af hånd","venstresidig","CT-skanning af hånd","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"238","UXCG20_TUL1/UXCG20_UXZ11","CT-skanning af femur","højresidig","CT-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"246","UXCF50_TUL1/UXCF50_UXZ11","CT-skanning af hånd","højresidig","CT-skanning af hånd","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"258","UXCA00_UXZ11/UXCD00_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"262","UXCD80_UXZ11/UXCD80_UXZ65","CT-skanning af kolon og rektum (CT-kolografi)","uden i.v. kontrast","CT-skanning af kolon og rektum (CT-kolografi)","med CO2-kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"266","UXCG20_TUL2/UXCG20_UXZ11","CT-skanning af femur","venstresidig","CT-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"268","UXCA40_UXZ11/UXCC77_UXZ11","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"272","UXCD00_UXZ12/UXCD62_UXZ12","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-urografi","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"282","UXCC00_UXZ11/UXCD10_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af øvre abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"288","UXCA00_UXZ11/UXCC00_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"292","UXCC00_UXZ10/UXCC00A_UXZ11","CT-skanning af thorax","med i.v. kontrast","CT-skanning af hjertet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"296","UXCA00_UXZ11/UXCC00_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"300","UXCB00_UXZ11/UXCC00_UXZ11","CT-skanning af hals","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"370","UXCD00_UXZ10/UXCD40_UXZ10","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af lever","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"382","UXCA00_UXZ11/UXCD00_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"398","UXCD00_UXZ12/UXCD40_UXZ12","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-skanning af lever","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"404","UXCE10_UXZ11/UXCE20_UXZ11","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"408","UXCF20_TUL2/UXCF20_UXZ11","CT-skanning af overarm","venstresidig","CT-skanning af overarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"422","UXCF30_TUL2/UXCF30_UXZ11","CT-skanning af underarm","venstresidig","CT-skanning af underarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"450","UXCC00_UXZ11/UXCE10_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"454","UXCD00_UXZ11/UXCD00_UXZ41","CT-skanning af abdomen","uden i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"475","UXCA00_UXZ11/UXCG10_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af ossøse bækken","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"499","UXCF20_TUL1/UXCF20_UXZ11","CT-skanning af overarm","højresidig","CT-skanning af overarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"513","UXCA25_UXZ11/UXCE10_UXZ11","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"517","UXCC00_UXZ10/UXCC77_UXZ11","CT-skanning af thorax","med i.v. kontrast","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"521","UXCD00_UXZ10/UXCD30_UXZ10","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af aorta abdominalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"573","UXCA00_UXZ12A/UXCD00_UXZ10","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"583","UXCA40_UXZ11/UXCC00_UXZ11","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"596","UXCC00_UXZ12/UXCD10_UXZ12","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af øvre abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"602","UXCC70_UXZ11/UXCD30_UXZ11","CT-skanning af aorta thoracalis","uden i.v. kontrast","CT-skanning af aorta abdominalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"608","UXCD00_UXZ10/UXCD30_UXZ12","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af aorta abdominalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"614","UXCE10_UXZ11/UXCE30_UXZ11","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"627","UXCA00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"639","UXCA00_UXZ12A/UXCA40_UXZ11","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"653","UXCA25_UXZ11/UXCA90_UXZ12","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"673","UXCA25_UXZ11/UXCC00_UXZ11","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"677","UXCA25_UXZ11/UXCC77_UXZ11","CT-skanning af ansigtsskelet","uden i.v. kontrast","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"759","UXCC77_UXZ11/UXCD00_UXZ10","High Resolution CT-skanning af lunger","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"785","UXCD60_UXZ11/UXCD75_UXZ11","CT-skanning af nyrer","uden i.v. kontrast","CT-skanning af blære","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"789","UXCE10_UXZ11/UXCG10_UXZ11","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af ossøse bækken","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"793","UXCE30_UXZ11/UXCG10_UXZ11","CT-skanning af columna lumbalis","uden i.v. kontrast","CT-skanning af ossøse bækken","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"797","UXCG00_TUL2/UXCG00_UXZ11","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"799","UXCG15_TUL2/UXCG15_UXZ10","CT-skanning af hofte","venstresidig","CT-skanning af hofte","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"820","NAAC_ZPTA3/UXCA25_UXZ11","Generel anæstesi","procedure udført i generel anæstesi","CT-skanning af ansigtsskelet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"822","NAAC_ZPTA3/UXCC77_UXZ11","Generel anæstesi","procedure udført i generel anæstesi","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"824","UXCA00_UXZ10/UXCA25_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af ansigtsskelet","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"852","UXCA00_UXZ10/UXCC00_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"856","UXCA00_UXZ11/UXCA05_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af kranie","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"876","UXCA00_UXZ11/UXCA40_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"880","UXCA00_UXZ11/UXCB00_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"916","UXCA00_UXZ11/UXCC77_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"936","UXCA00_UXZ11/UXCD00_UXZ12","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"940","UXCA00_UXZ11/UXCD15_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af nedre abdomen, inkl. bækken","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"944","UXCA00_UXZ11/UXCD62_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-urografi","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"996","UXCA00_UXZ11/UXCE20_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1008","UXCA00_UXZ11/UXCE30_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1032","UXCA00_UXZ12A/UXCA25_UXZ11","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af ansigtsskelet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1034","UXCA00_UXZ12A/UXCC00_UXZ10","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af thorax","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1036","UXCA00_UXZ12A/UXCC00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af thorax","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1042","UXCA00_UXZ12A/UXCD00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1052","UXCA25_UXZ11/UXCB00_UXZ10","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1056","UXCA25_UXZ11/UXCD00_UXZ10","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1060","UXCA25_UXZ11/UXCD00_UXZ11","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1102","UXCA40_UXZ11/UXCE10_UXZ11","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1116","UXCA50_UXZ10/UXCB00_UXZ10","CT-skanning af rhino-oropharynx","med i.v. kontrast","CT-skanning af hals","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"1130","UXCA90_UXZ10/UXRC00_NA/UXRG10_NA","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","med i.v. kontrast","Røntgenundersøgelse af thorax",NA,"Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,"0"
"1148","UXCB00_UXZ11/UXCD00_UXZ10","CT-skanning af hals","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
