"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"406","NAAC_NA/UXMD25A_UXZ12","Generel anæstesi",NA,"MR-skanning af tyndtarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"408","NAAC_NA/UXME10_UXZ11","Generel anæstesi",NA,"MR-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"564","UXMF20_NA/UXMF25_NA/UXMF30_NA","MR-skanning af overarm",NA,"MR-skanning af albue",NA,"MR-skanning af underarm",NA,NA,NA,NA,NA,NA,NA,"0"
"1","UXMA00_UXZ11","MR-skanning af cerebrum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"3","UXMA00_UXZ12","MR-skanning af cerebrum","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"5","UXMD50_UXZ11","MR-cholangio-pancreaticografi (MRCP)","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"7","UXME30_UXZ11","MR-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"13","UXMD25A_UXZ12","MR-skanning af tyndtarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"15","UXMD15_UXZ11","MR-skanning af nedre abdomen, inkl. bækken","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"49","UXME10_UXZ11","MR-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"51","UXME00_UXZ11","MR-skanning af columna","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"55","UXMA10_UXZ12","MR-skanning af hypofyse","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"92","UXMD40_UXZ11","MR-skanning af lever","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"102","UXMD15_UXZ12","MR-skanning af nedre abdomen, inkl. bækken","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"104","UXMC80_UXZ11","MR-skanning af hjertet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"110","UXMD40_UXZ12","MR-skanning af lever","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"116","UXMC80_UXZ12","MR-skanning af hjertet","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"122","UXMG10_UXZ11","MR-skanning af bækken, inkl. begge hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"124","UXMA00_UXZ10","MR-skanning af cerebrum","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"130","UXMD55_UXZ12","MR-skanning af pancreas","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"132","UXME00_UXZ12","MR-skanning af columna","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"134","UXME20_UXZ11","MR-skanning af columna thoracalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"136","UXME30_UXZ12","MR-skanning af columna lumbalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"142","UXMD22_UXZ11","MR-skanning af abdominalvæg","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"146","UXMG10_UXZ12","MR-skanning af bækken, inkl. begge hofteled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"158","UXMC10_UXZ11","MR-skanning af thoraxvæg","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"164","UXMC00_UXZ11","MR-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"166","UXMD25A_UXZ11","MR-skanning af tyndtarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"172","UXMA10_UXZ11","MR-skanning af hypofyse","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"186","UXME10_UXZ12","MR-skanning af columna cervicalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"190","UXMD80_UXZ11","MR-skanning af genitalia feminina","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"192","UXMD22_UXZ12","MR-skanning af abdominalvæg","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"204","UXMC00_UXZ12","MR-skanning af thorax","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"210","UXMD55_UXZ11","MR-skanning af pancreas","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"216","UXMD25A_UXZ10","MR-skanning af tyndtarm","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"224","UXMC10_UXZ12","MR-skanning af thoraxvæg","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"234","UXME20_UXZ12","MR-skanning af columna thoracalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"274","UXMB00_UXZ12","MR-skanning af hals","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"276","UXME50_UXZ11","MR-skanning af os sacrum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"282","UXMA10_UXZ10","MR-skanning af hypofyse","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"284","UXMB00_UXZ11","MR-skanning af hals","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"286","UXMD40_UXZ10","MR-skanning af lever","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"300","UXMD50_UXZ12","MR-cholangio-pancreaticografi (MRCP)","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"316","UXMD15_UXZ10","MR-skanning af nedre abdomen, inkl. bækken","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"318","UXMD80_UXZ12","MR-skanning af genitalia feminina","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"346","UXMA12_UXZ12","MR-skanning af fossa posterior","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"348","UXMC90_UXZ11","MR-skanning af plexus brachialis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"350","UXMD10_UXZ11","MR-skanning af øvre abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"352","UXMD50_UXZ10","MR-cholangio-pancreaticografi (MRCP)","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"354","UXME00_UXZ10","MR-skanning af columna","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"434","UXMA05_UXZ12","MR-skanning af kranieknogler","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"436","UXMA20_UXZ11","MR-skanning af orbita","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"438","UXMA20_UXZ12","MR-skanning af orbita","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"440","UXMA60_UXZ11","MR-skanning af rhino-oropharynx","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"452","UXMC35_UXZ11","MR-skanning af sternum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"454","UXMC35_UXZ12","MR-skanning af sternum","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"456","UXMD10_UXZ12","MR-skanning af øvre abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"482","UXMD55_UXZ10","MR-skanning af pancreas","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"490","UXMD90_UXZ12","MR-skanning af genitalia maskulina","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"496","UXME10_UXZ10","MR-skanning af columna cervicalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"542","UXME25_UXZ11","MR-myelografi af medulla thoracalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"544","UXME25_UXZ12","MR-myelografi af medulla thoracalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"554","UXME30A_UXZ11","MR-skanning af plexus lumbo-sacralis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"591","UXMG11_UXZ11","MR-skanning af sakroiliakaled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"91","ZZ0152_NA","Klinisk forskningsundersøgelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
